Date: <<2010/12/13 22:27:50>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include() [<a href='function.include'>function.include</a>]: Failed opening '../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/defaultProject/config.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:27:50>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include(../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/../app/defaultApp/config.php) [<a href='devstruct.include'>devstruct.include</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:27:50>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include() [<a href='function.include'>function.include</a>]: Failed opening '../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/../app/defaultApp/config.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:33:40>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:33:40>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:33:40>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include(../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/defaultProject/config.php) [<a href='devstruct.include'>devstruct.include</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:33:40>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include() [<a href='function.include'>function.include</a>]: Failed opening '../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/defaultProject/config.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:33:40>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include(../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/../app/defaultApp/config.php) [<a href='devstruct.include'>devstruct.include</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:33:40>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include() [<a href='function.include'>function.include</a>]: Failed opening '../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/../app/defaultApp/config.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:36:06>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:36:06>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:36:06>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include(../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/defaultProject/config.php) [<a href='devstruct.include'>devstruct.include</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:36:06>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include() [<a href='function.include'>function.include</a>]: Failed opening '../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/defaultProject/config.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:36:06>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include(../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/../app/defaultApp/config.php) [<a href='devstruct.include'>devstruct.include</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:36:06>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include() [<a href='function.include'>function.include</a>]: Failed opening '../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/../app/defaultApp/config.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:03:21>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:03:21>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:03:21>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/ProjectAdmin.php>>, Line: <<29>>, Description: <<Invalid argument supplied for foreach()>> 
Date: <<2010/12/13 23:03:21>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:03:21>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:03:21>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:04:43>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:04:43>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:04:43>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:04:43>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:04:43>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:05:28>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:05:28>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:07:05>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:07:05>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:07:05>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:07:05>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:07:05>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:10:02>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:10:02>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:10:02>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:10:02>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:10:02>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:10:22>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:10:22>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:10:22>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:10:22>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:10:22>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:11:42>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:11:42>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:11:42>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:11:42>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:11:42>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:12:08>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 23:12:08>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 23:12:08>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:12:08>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
Date: <<2010/12/13 23:12:08>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/hard/HardManager.php>>, Line: <<24>>, Description: <<mkdir() [<a href='function.mkdir'>function.mkdir</a>]: Permission denied>> 
